ID,CompanyName,StartDate,Revenue,LineOfBusiness,Location,Profit
45,Company_45,2022-02-14,229981,Retail,City_A,49522
46,Company_46,2022-02-15,184654,Finance,City_D,36416
47,Company_47,2022-02-16,691723,Healthcare,City_B,20271
48,Company_48,2022-02-17,419030,IT,City_B,-5936
49,Company_49,2022-02-18,428947,Finance,City_B,20091
50,Company_50,2022-02-19,655839,Finance,City_C,-9182
51,Company_51,2022-02-20,373538,Manufacturing,City_C,-4475
52,Company_52,2022-02-21,431236,Retail,City_D,-30170
53,Company_53,2022-02-22,1067215,Healthcare,City_D,-69555
54,Company_54,2022-02-23,665894,IT,City_A,-43107
55,Company_55,2022-02-24,589492,Manufacturing,City_A,29909
56,Company_56,2022-02-25,356840,Retail,City_D,-2667
57,Company_57,2022-02-26,573254,Manufacturing,City_C,-46564
58,Company_58,2022-02-27,449457,Retail,City_B,24290
59,Company_59,2022-02-28,765987,Retail,City_D,26213
60,Company_60,2022-03-01,370936,Healthcare,City_A,-44105
61,Company_61,2022-03-02,339931,Retail,City_C,-30262
62,Company_62,2022-03-03,339629,Manufacturing,City_D,-19254
63,Company_63,2022-03-04,1699438,Retail,City_D,-73789
64,Company_64,2022-03-05,798361,Healthcare,City_C,-1596
65,Company_65,2022-03-06,831912,Healthcare,City_D,4045
66,Company_66,2022-03-07,517113,Manufacturing,City_C,47888
67,Company_67,2022-03-08,168148,Finance,City_B,-10210
68,Company_68,2022-03-09,877089,Finance,City_C,-44400
69,Company_69,2022-03-10,748531,Retail,City_C,44660
70,Company_70,2022-03-11,351995,IT,City_C,43179
71,Company_71,2022-03-12,778843,Retail,City_D,-9236
72,Company_72,2022-03-13,672843,Manufacturing,City_D,24543
73,Company_73,2022-03-14,356508,Manufacturing,City_C,-4286
74,Company_74,2022-03-15,1447556,Manufacturing,City_D,-70778
75,Company_75,2022-03-16,996942,Manufacturing,City_A,23744
76,Company_76,2022-03-17,206530,Manufacturing,City_A,6491
77,Company_77,2022-03-18,704365,Healthcare,City_D,-31411
78,Company_78,2022-03-19,922352,Finance,City_D,-6516
79,Company_79,2022-03-20,560337,Manufacturing,City_C,32989
80,Company_80,2022-03-21,824839,IT,City_B,-13788
81,Company_81,2022-03-22,905889,IT,City_D,-6475
82,Company_82,2022-03-23,559773,IT,City_A,-2798
83,Company_83,2022-03-24,1454605,IT,City_C,-56775
84,Company_84,2022-03-25,864469,Healthcare,City_D,13208
85,Company_85,2022-03-26,441097,IT,City_A,-16172
86,Company_86,2022-03-27,415139,Manufacturing,City_A,-31289
87,Company_87,2022-03-28,271829,Retail,City_B,-46580
88,Company_88,2022-03-29,371836,IT,City_C,46752
89,Company_89,2022-03-30,538974,Healthcare,City_C,-49699
90,Company_90,2022-03-31,302283,Healthcare,City_B,-4764
91,Company_91,2022-04-01,296769,IT,City_B,16235
92,Company_92,2022-04-02,661353,Retail,City_C,4240
93,Company_93,2022-04-03,323165,IT,City_C,15726
94,Company_94,2022-04-04,723587,Healthcare,City_D,-39508
95,Company_95,2022-04-05,635822,Finance,City_D,-43898
96,Company_96,2022-04-06,587879,Manufacturing,City_B,336
97,Company_97,2022-04-07,664685,Healthcare,City_D,35314
98,Company_98,2022-04-08,882038,IT,City_A,-23359
99,Company_99,2022-04-09,453531,Manufacturing,City_D,-15416
100,Company_100,2022-04-10,363160,IT,City_D,-17255
